bundle_id,timestamp,source,destination,relay_path,propagation_delay_sec,rss_dbm,packet_size_bytes,transmission_rate_bps,ttl_original,status
821,2026-08-01T00:00:30,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.52,-93.85,471,250,3600,Normal
1,2026-08-01T00:01:10,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.21,-97.29,485,241,3600,Normal
411,2026-08-01T00:01:23,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,734.98,-99.23,529,266,3600,Normal
2,2026-08-01T00:01:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.63,-98.73,469,252,3600,Normal
822,2026-08-01T00:01:55,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.62,-95.46,485,254,3600,Normal
3,2026-08-01T00:02:17,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.45,-92.46,522,258,3600,Normal
412,2026-08-01T00:02:19,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.34,-96.24,467,241,3600,Normal
413,2026-08-01T00:03:02,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.25,-93.8,524,262,3600,Normal
823,2026-08-01T00:03:04,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,713.22,-92.0,504,252,3600,Normal
4,2026-08-01T00:03:32,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.48,-95.43,483,259,3600,Normal
414,2026-08-01T00:04:11,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,737.83,-96.51,462,257,3600,Normal
824,2026-08-01T00:04:22,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.48,-98.37,489,242,3600,Normal
5,2026-08-01T00:04:53,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.95,-97.46,477,252,3600,Normal
825,2026-08-01T00:05:00,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,740.7,-96.77,544,265,3600,Normal
415,2026-08-01T00:05:07,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,698.91,-95.28,488,275,3600,Normal
416,2026-08-01T00:05:38,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.1,-96.88,504,274,3600,Normal
6,2026-08-01T00:05:40,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.12,-99.34,495,239,3600,Normal
