bundle_id,timestamp,source,destination,relay_path,propagation_delay_sec,rss_dbm,packet_size_bytes,transmission_rate_bps,ttl_original,status,St,Sl,Sr,Sh,Sc,trust_score,dynamic_trust,anomaly_confidence,lineage_score,combined_confidence,ttl_new,verdict
1,2026-08-01T00:01:10,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.21,-97.29,485,241,3600,Normal,1.0,1.0,1.0,1.0,0.892,0.973,0.996,0.108,1.0,0.991,3566,Legitimate
2,2026-08-01T00:01:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.63,-98.73,469,252,3600,Normal,1.0,1.0,1.0,1.0,0.893,0.973,0.993,0.107,1.0,0.99,3563,Legitimate
3,2026-08-01T00:02:17,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.45,-92.46,522,258,3600,Normal,1.0,1.0,1.0,1.0,0.931,0.983,0.991,0.069,1.0,0.992,3572,Legitimate
4,2026-08-01T00:03:32,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.48,-95.43,483,259,3600,Normal,1.0,0.518,0.873,0.695,0.956,0.837,0.968,0.044,1.0,0.94,3385,Legitimate
5,2026-08-01T00:04:53,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.95,-97.46,477,252,3600,Normal,0.425,0.42,0.729,0.575,0.885,0.615,0.915,0.115,1.0,0.852,3065,Legitimate
6,2026-08-01T00:05:40,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.12,-99.34,495,239,3600,Normal,0.823,0.6,0.495,0.547,0.848,0.691,0.881,0.152,1.0,0.865,3116,Legitimate
7,2026-08-01T00:06:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,713.91,-93.52,487,237,3600,Normal,0.643,0.899,0.491,0.695,0.929,0.74,0.86,0.071,1.0,0.875,3149,Legitimate
8,2026-08-01T00:07:15,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.57,-99.49,499,258,3600,Normal,0.817,0.814,0.518,0.666,0.932,0.77,0.847,0.068,1.0,0.88,3169,Legitimate
9,2026-08-01T00:08:38,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,725.56,-98.66,497,243,3600,Normal,0.434,0.699,0.676,0.688,0.93,0.685,0.823,0.07,1.0,0.844,3039,Legitimate
10,2026-08-01T00:09:12,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.38,-92.42,490,238,3600,Normal,0.578,0.467,0.394,0.43,0.85,0.572,0.785,0.15,1.0,0.792,2853,Legitimate
