timestamp,source,destination,relay,mission_phase,frequency_band,encryption,packet_size,delay_ms,signal_strength,ttl,ttl_evidence,dsslv_score,dynamic_ttl_trust,trust_score,status
2026-07-15 10:00:00,ISS_Module,Earth,Relay_E,Launch,S-Band,AES-256,4096,635,-58,64,100.0,88,96.0,92.0,Normal
2026-07-15 10:00:07,Mars_Rover,Earth,Relay_A,Data Transmission,S-Band,AES-256,2048,1196,-72,62,96.88,98,93.0,95.5,Normal
2026-07-15 10:00:22,ISS_Module,Earth,Relay_E,Surface Operation,Ka-Band,AES-256,512,599,-59,62,96.88,89,93.0,91.0,Normal
2026-07-15 10:00:36,Lunar_Probe,Earth,Unknown_Relay,Launch,X-Band,RSA-4096,2048,359,-19,48,75.0,49,72.0,60.5,Spoofing
2026-07-15 10:00:36,Orbiter_1,Earth,Relay_B,Landing,S-Band,RSA-4096,2048,1311,-70,61,95.31,100,91.5,95.75,Normal
2026-07-15 10:00:55,Lunar_Probe,Earth,Relay_C,Cruise,S-Band,AES-256,4096,989,-66,63,98.44,96,94.5,95.25,Normal
2026-07-15 10:01:42,DeepSpace_Satellite,Earth,Relay_D,Sample Collection,X-Band,AES-256,512,2496,-82,61,95.31,88,91.5,89.75,Normal
2026-07-15 10:02:06,DeepSpace_Satellite,Earth,Unknown_Relay,Return Mission,Ka-Band,RSA-4096,512,649,-32,46,71.88,62,69.0,65.5,Spoofing
2026-07-15 10:01:28,Lunar_Probe,Earth,Relay_X,Return Mission,S-Band,RSA-4096,512,528,-16,37,57.81,46,55.5,50.75,Injection
2026-07-15 10:02:06,Mars_Rover,Earth,Relay_A,Sample Collection,X-Band,RSA-4096,2048,1231,-73,60,93.75,97,90.0,93.5,Normal
2026-07-15 10:01:00,ISS_Module,Earth,Relay_E,Cruise,X-Band,Post-Quantum,512,495,-56,64,100.0,86,96.0,91.0,Normal
2026-07-15 10:02:01,DeepSpace_Satellite,Earth,Relay_D,Sample Collection,S-Band,AES-256,2048,2244,-82,63,98.44,88,94.5,91.25,Normal
2026-07-15 10:02:36,Mars_Rover,Earth,Trusted,Sample Collection,X-Band,AES-256,1024,4590,-88,44,68.75,82,66.0,74.0,Replay
2026-07-15 10:01:05,DeepSpace_Satellite,Earth,Unknown_Relay,Cruise,S-Band,AES-256,2048,749,-34,48,75.0,64,72.0,68.0,Spoofing
2026-07-15 10:01:52,ISS_Module,Earth,Relay_E,Cruise,S-Band,AES-256,512,492,-60,64,100.0,90,96.0,93.0,Normal
2026-07-15 10:01:45,Mars_Rover,Earth,Relay_A,Data Transmission,Ka-Band,RSA-4096,512,1243,-70,64,100.0,100,96.0,98.0,Normal
2026-07-15 10:01:52,DeepSpace_Satellite,Earth,Trusted,Launch,S-Band,AES-256,512,9370,-91,43,67.19,79,64.5,71.75,Replay
2026-07-15 10:01:25,Lunar_Probe,Earth,Unknown_Relay,Launch,S-Band,AES-256,1024,320,-23,50,78.12,53,75.0,64.0,Spoofing
2026-07-15 10:01:30,Lunar_Probe,Earth,Relay_C,Landing,Ka-Band,AES-256,1024,966,-65,64,100.0,95,96.0,95.5,Normal
2026-07-15 10:02:51,Lunar_Probe,Earth,Relay_C,Surface Operation,S-Band,RSA-4096,2048,1031,-64,61,95.31,94,91.5,92.75,Normal
2026-07-15 10:04:20,DeepSpace_Satellite,Earth,Relay_D,Landing,Ka-Band,Post-Quantum,4096,2364,-80,59,92.19,90,88.5,89.25,Normal
2026-07-15 10:06:18,Orbiter_1,Earth,Relay_B,Return Mission,S-Band,RSA-4096,2048,1260,-70,63,98.44,100,94.5,97.25,Normal
2026-07-15 10:04:02,Mars_Rover,Earth,Relay_A,Sample Collection,X-Band,Post-Quantum,2048,1227,-72,60,93.75,98,90.0,94.0,Normal
2026-07-15 10:03:04,Orbiter_1,Earth,Relay_B,Launch,Ka-Band,AES-256,4096,1333,-71,63,98.44,99,94.5,96.75,Normal
2026-07-15 10:07:36,Orbiter_1,Earth,Relay_B,Sample Collection,X-Band,Post-Quantum,512,1253,-68,63,98.44,98,94.5,96.25,Normal
